Video grb6Oej_kD0
======================================================================

[00:00] 朋友们好 欢迎回到江峰视界
[00:02] 香港大埔那场冲天大火
[00:05] 官方数字像挤牙膏一样挤到了159人
[00:09] 但在推特流出的视频里
[00:10] 那密密麻麻的裹尸袋告诉我们
[00:13] 这其实是一场彻头彻尾的人祸
[00:16] 这把火顺著那些违规的易燃尼龙网
[00:19] 现在一路烧穿了深圳河
[00:21] 烧进了中南海
[00:23] 直接烧到了第一家庭的家门口
[00:26] 更要命的是就在这节骨眼上
[00:28] 北京发生了政治地震
[00:31] 中纪委书记李希神秘失踪十多天
[00:35] 坊间疯传元老们已经忍无可忍
[00:38] 藉著这把大火联手军方张又侠
[00:42] 启动了要把常委洗牌的B计划
[00:45] 老习这次是真的怕了
[00:50] 这场火为什么会烧得这么大这么惨
[00:52] 专业人士的分析让人背脊发凉
[00:56] 大楼外围维修用的防护网
[00:58] 按香港法规必须是阻燃材料
[01:01] 但视频里大家看到了
[01:03] 那网是见火就著遇风就长
[01:07] 燃烧的火屑像毒雨一样往居民家里飘
[01:11] 妥妥的引火线
[01:12] 这就要问责了
[01:13] 火灾涉及的外墙维修工程
[01:16] 是由香港本地的宏业建筑负责
[01:19] 这家公司被指劣迹斑斑多次违规
[01:22] 纽约时报的调查一针见血
[01:25] 承包商为了省成本
[01:27] 使用了廉价的非阻燃尼龙网
[01:30] 并伪造合格报告骗过了劳工处
[01:33] 居民去年就投诉了16次火险高
[01:37] 结果呢没管用
[01:39] 为什么不管用
[01:40] 为什么香港劳工处查不下去
[01:42] 因为这背后的关系网比防火墙还硬
[01:47] 知乎上有一篇阅读量10万+的帖子
[01:50] 很快被删网友深挖发现
[01:53] 香港宏业建筑的尼龙网
[01:55] 源头来自山东菏泽
[01:57] 上游供应商是一家叫明丽商贸的公司
[02:01] 大家注意这个细节天眼查显示
[02:04] 这家公司的注册地址
[02:06] 竟然在北京市西城区前半壁街
[02:09] 这曾是老习担任福州市委书记时的
[02:12] 驻京办旧址
[02:14] 更惊人的爆料来了
[02:15] 根据网友挖掘的工商信息
[02:18] 这家公司的法人代表彭丽娟
[02:20] 被指就是当今国母彭将军的亲妹妹
[02:24] 而公司的实际操盘手徐兴建
[02:27] 从一个山东菏泽的工商所长
[02:29] 靠著彭妹夫的身份读了北大EMBA
[02:33] 摇身一变成了掌控京港两地
[02:35] 建材供应的大鳄
[02:37] 甚至还有爆料说
[02:39] 这里面还有那位核酸女王张珊珊的影子
[02:42] 老习弟媳妇的妹妹
[02:45] 据传她在滨州的实验室
[02:47] 给这些夺命的劣质材料
[02:49] 出具了合格报告
[02:51] 朋友们这些具体的亲属关系和商业版图
[02:55] 在中共的黑箱操作下
[02:57] 我们目前只能称之为传闻
[03:00] 但为什么这类传闻能让大家深信不疑
[03:03] 因为它太符合中共一人得道
[03:07] 鸡犬升天的政治逻辑了
[03:09] 现在麻烦来了死了这么多人
[03:12] 香港民怨沸腾总得有人出来扛雷吧
[03:16] 北京的意思很明确
[03:18] 李家超你是特首这锅你背
[03:21] 甚至有消息说北京打算让李家超辞职
[03:25] 来平息民愤顺便把彭家从这事儿里摘干净
[03:29] 但这一次警察出身的李家超
