Video P3IG1e4U3LQ
======================================================================

[00:00] 朋友们好 欢迎回到江峰视界
[00:03] 周一一大早军报头版扔出一句话
[00:06] 弘扬优良传统深化政治整训
[00:08] 真刀真枪见真章
[00:10] 和平年代这一刀要砍谁
[00:13] 如果你还记得上周五那场中央政治局会议
[00:16] 当天晚上的新闻联播没有现场画面
[00:20] 你那一刻其实就应该感觉到了
[00:23] 这刀已经落下去了
[00:25] 就在二十八日的上午张又侠在红墙之内
[00:29] 等于是亲自盯著把习近平最看重的接班梯队
[00:33] 在会议桌上来了一次对账清算
[00:37] 那次会议审议的是巡视组从各省汇总的报告
[00:42] 照理说这应该是李希的主场
[00:46] 这本综合报告说白了就是他班子写的縂帐本
[00:52] 按照中共通稿以往的写法要么会写李希作汇报
[00:57] 要么写习近平主持会议李希作说明
[01:01] 可是这一次巡视总指挥李希
[01:04] 名字从头到尾干脆从名单里抹掉
[01:07] 到底发生了什么那不是普通例行政治局会议
[01:12] 而是一场红墙之内的军纪对账会
[01:15] 不是一般意义上的反腐讲的是谁还能站在台上
[01:21] 谁已经被拖下去了
[01:25] 这是现在北京坊间流传最广的会场版本
[01:29] 是不是戏剧化你自己判断
[01:31] 但你只要对上时间再看几天后的军报头版
[01:35] 你就知道气氛绝没夸张
[01:37] 现在圈子里至少有两个版本
[01:40] 一个叫会场版当著全体政治局的面现场动手
[01:45] 一个叫场下版会场上只点名不抓人
[01:49] 真正下手是在场下
[01:52] 先把会场版给你当故事听
[01:54] 会议一开始流程还算正常
[01:58] 马兴瑞坐在一排脸绷得紧紧的手心都是汗
[02:02] 勉强装出一副镇定的样子
[02:04] 就在这个时候张又侠站起来了
[02:07] 没有寒暄没有铺垫他直接伸手一指
[02:11] 冷冷一句马兴瑞你没有资格坐在这里
[02:15] 全场空气瞬间凝固
[02:17] 按中共的规矩在政治局这个级别的会上
[02:21] 能说谁不配坐这儿的理论上只有一个人总书记
[02:26] 副主席部长书记不管什么头衔都得往后排队
[02:31] 但这一次军委副主席直接跳过总书记当众宣判
[02:36] 习近平当时也愣住了第一反应不是拍桌子
[02:39] 不是震怒而是本能地想把事情拉回党内流程
[02:44] 老张啊这事儿不急让李希同志按程序办
[02:48] 但张又侠完全不给台阶不能等
[02:52] 话音一落紧跟著是一句震场的定性
[02:55] 军工系统的腐败直接影响备战打仗
[02:59] 这不是违纪是通敌军纪委有权介入
[03:03] 我们已经查得差不多了
[03:05] 这一串话当场宣布了三件事
[03:08] 军工案不再由李希一个人说了算
[03:11] 军队可以迳行介入甚至越级动到政治局委员
[03:16] 通敌这两个字一出口案子就不再是党纪处分
[03:20] 而是军法管辖
[03:22] 从这一刻开始李希那套按程序来的系统
[03:25] 现场被废掉了一半
[03:27] 张又侠没有再多废话他一摆手
[03:31] 会场后门咣当一声被推开
[03:34] 走进来的不是中央警卫局
[03:37] 而是一队穿作战服的军纪委特勤
[03:40] 这是整个故事里最重的一个画面
[03:44] 如果是警卫局出手那叫保卫首长
[03:47] 如果是军纪委出手那就是军法系统
[03:51] 直接介入中共最高决策会议
[03:54] 几个特勤快步上前一左一右架住马兴瑞
[03:58] 几乎是半拖半擡当场带走
