Video Ah451Y8TLVU
======================================================================

[00:00] 江油四警被滅門
[00:02] 中國網絡突異常
[00:04] 習胡西藏同行
[00:07] 俄紅軍城潰敗被俘
[00:09] 北方副司令遭重創
[00:12] 川普批光電是世紀騙局
[00:15] 不允許破壞農地
[00:18] 中共軍工企業科思遭調查
[00:20] 投資人恐慌
[00:23] 官媒批不結婚評論區翻車
[00:26] 清華教授 社會要崩
[00:29] 觀眾朋友好
[00:30] 歡迎收看全球視野
[00:32] 今天是8月21號 星期二
[00:35] 下面請看詳細內容
[00:47] 中共官方與民間矛盾
[00:50] 正隨著政局的異動而愈演愈烈
[00:53] 近日
[00:53] X平台網友發貼透露說
[00:56] 據傳 江油事件正在失控
[00:58] 已經有四個帽子叔叔被滅門
[01:01] 此事很大
[01:02] 短時間難以平息
[01:04] 此消息一出
[01:05] 引起網友紛紛議論
[01:07] 有人說
[01:08] 希望滅的不是帽子叔叔
[01:10] 而是真正上面的高層
[01:12] 你下面的滅多少人
[01:14] 他們都不會有危機感
[01:15] 永遠不會有任何改變
[01:18] 也有人回覆說
[01:19] 非也
[01:20] 直接作惡的都是最下面的酷吏 惡奴們
[01:23] 因為它們人數眾多
[01:25] 目標還好篩選
[01:26] 也容易接近
[01:28] 而上面的不容易接近
[01:30] 孟加拉模式就是這樣做的
[01:32] 中共擅長製造寒蟬效應
[01:35] 孟加拉模式也能製造寒蟬效應
[01:38] 畢竟酷吏 惡奴們只是為了一份工資
[01:41] 也沒有安保
[01:42] 搭上小命和家人都不值當
[01:45] 很多網友回覆說：希望是真的
[01:48] 唯有孟加拉模式才能救中國
[01:50] 也有的表示：滅的好
[01:52] 當公務員和黑皮需要付出代價的時候
[01:56] 這個政權也會搖搖欲墜
[01:58] 此外
[01:59] 9月3日北京閱兵臨近
[02:02] 中共的「維穩」力度不斷升級
[02:04] 8月20日凌晨
[02:06] 中國網絡空間突現大規模異常
[02:09] 技術人員指出
[02:10] 此舉與即將到來的重大政治活動有關
[02:14] 與軍演一個道理
[02:16] 「目標就是在所謂特殊時刻
[02:18] 實現快速斷網
[02:20] 防止網民串聯」
[02:22] 據大紀元報導
[02:23] 中國網絡  境外443端口流量
[02:26] 一度被全面屏蔽
[02:28] 蘋果 特斯拉
[02:29] 必應等國際網站均受影響
[02:32] 當天凌晨
[02:33] 海內外社交平台與微信群中
[02:36] 不斷出現抱怨
[02:38] 用戶稱「打不開網頁」「VPN失效」
[02:41] 北京 上海等地均有類似反映
[02:44] 另有網民曬出近二十個
[02:46] 遭屏蔽的IP地址和截圖
[02:49] 一位工程師 郭先生
[02:51] 接受媒體採訪時  則直言
[02:53] 「防火牆的升級其實跟軍演一個道理
[02:57] 平時在虛擬網絡 局域網做實驗
[03:00] 一旦有大規模群體事件
[03:02] 就能立刻啟動
[03:04] 目標就是在所謂特殊時刻實現快速斷網
[03:07] 防止網民串聯」
[03:09] 郭先生還透露
[03:11] 這幾年防火牆並非只有
[03:13] 「國家隊」在操作
[03:14] 一些地方也開始搭建屬於自己的「省級牆」
[03:18] 限制本省用戶訪問外部網站
[03:21] 「河南 山東就出現了這種趨勢
[03:24] 地方的省級防火牆能自己設規則
[03:27] 攔截數據
